<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	89.717	89.954	89.376	89.734	117213	0	4
2018.01.03	89.733	89.808	89.515	89.737	130487	0	4
2018.01.04	89.737	90.299	89.671	90.264	150048	0	4
2018.01.05	90.264	91.579	90.222	91.066	164452	0	4
2018.01.08	91.098	91.368	90.798	91.028	123234	0	1
2018.01.09	91.028	91.153	90.130	90.360	165638	0	1
2018.01.10	90.360	91.101	88.496	88.798	207540	0	1
2018.01.11	88.798	89.132	88.541	88.852	188125	0	1
2018.01.12	88.852	89.157	88.637	89.108	190753	0	1
2018.01.15	89.076	89.315	88.819	88.908	165926	0	1
2018.01.16	88.908	89.314	88.611	88.790	182159	0	1
2018.01.17	88.790	89.627	88.200	89.445	219277	0	1
2018.01.18	89.426	89.548	88.874	89.446	189618	0	1
2018.01.19	89.447	89.538	88.506	88.577	172846	0	1
2018.01.22	88.552	89.208	88.544	89.124	139515	0	1
2018.01.23	89.122	89.237	88.402	88.803	174799	0	1
2018.01.24	88.803	88.897	88.193	88.424	201001	0	1
2018.01.25	88.424	88.719	88.114	88.366	259572	0	1
2018.01.26	88.366	88.849	87.883	88.191	232512	0	0
2018.01.29	88.183	88.494	87.986	88.263	186432	0	1
2018.01.30	88.263	88.373	87.794	88.148	190995	0	1
2018.01.31	88.148	89.052	88.110	88.643	219673	0	1
2018.02.01	88.643	89.277	88.643	89.176	197223	0	1
2018.02.02	89.176	89.435	88.594	88.610	241399	0	1
2018.02.05	88.579	88.649	86.982	86.982	273457	0	1
2018.02.06	86.982	87.741	86.340	87.687	408982	0	1
2018.02.07	87.667	87.798	86.873	86.956	255109	0	1
2018.02.08	86.956	87.377	86.155	86.282	309547	0	1
2018.02.09	86.280	86.768	85.551	86.451	277310	0	1
2018.02.12	86.429	86.568	85.989	86.367	163520	0	1
2018.02.13	86.367	86.460	85.178	85.609	193986	0	1
2018.02.14	85.609	85.746	84.668	85.633	260262	0	1
2018.02.15	85.633	85.666	84.756	85.017	231637	0	1
2018.02.16	85.019	85.166	84.483	84.545	216017	0	1
2018.02.19	84.628	84.980	84.549	84.832	126061	0	1
2018.02.20	84.832	85.118	84.789	84.837	174722	0	1
2018.02.21	84.837	85.259	84.745	84.830	197749	0	1
2018.02.22	84.830	84.866	83.839	84.016	196453	0	1
2018.02.23	84.011	84.603	83.919	84.584	161184	0	1
2018.02.26	84.659	84.720	84.106	84.292	168847	0	1
2018.02.27	84.291	84.481	83.994	83.994	184249	0	1
2018.02.28	83.968	84.189	83.028	83.104	204114	0	1
2018.03.01	83.104	83.648	82.507	82.740	268463	0	1
2018.03.02	82.740	82.888	81.667	82.037	248424	0	1
2018.03.05	81.828	82.034	81.375	81.900	208406	0	1
2018.03.06	81.898	82.563	81.538	82.398	210827	0	1
2018.03.07	82.398	82.448	81.401	82.126	251582	0	1
2018.03.08	82.126	82.465	81.872	82.325	176428	0	1
2018.03.09	82.325	83.435	82.291	83.342	209773	0	1
2018.03.12	83.304	83.489	82.818	82.875	132776	0	1
2018.03.13	82.875	83.440	82.018	82.181	216143	0	1
2018.03.14	82.181	82.427	81.757	82.036	201502	0	1
2018.03.15	82.038	82.087	81.145	81.486	209347	0	1
2018.03.16	81.486	81.488	80.677	80.928	170136	0	1
2018.03.19	80.913	81.421	80.540	81.043	199494	0	1
2018.03.20	81.043	81.600	80.964	81.476	194331	0	1
2018.03.21	81.476	82.403	81.410	82.181	217902	0	1
2018.03.22	82.178	82.377	81.304	81.428	262657	0	1
2018.03.23	81.427	82.062	80.907	81.197	280834	0	1
2018.03.26	81.152	82.084	81.141	82.060	201228	0	1
2018.03.27	82.060	82.441	81.683	81.734	205946	0	1
2018.03.28	81.734	82.836	81.692	82.656	224110	0	1
2018.03.29	82.656	82.774	82.259	82.595	192181	0	1
2018.03.30	82.577	82.646	82.312	82.384	68315	0	1
2018.04.02	82.264	82.674	81.631	81.993	120320	0	1
2018.04.03	81.993	83.338	81.828	83.236	169040	0	1
2018.04.04	83.228	83.709	82.557	83.595	127780	0	1
2018.04.05	83.586	84.262	83.535	84.215	99860	0	1
2018.04.06	84.195	84.253	83.528	83.623	142043	0	1
2018.04.09	83.725	84.386	83.579	84.062	97844	0	1
2018.04.10	84.046	85.249	83.923	85.040	116366	0	1
2018.04.11	85.039	85.139	84.577	84.867	113297	0	1
2018.04.12	84.854	85.318	84.697	85.235	119821	0	1
2018.04.13	85.203	85.757	85.016	85.077	101706	0	1
2018.04.16	85.233	85.372	84.902	85.216	87828	0	1
2018.04.17	85.199	85.417	85.056	85.241	87227	0	1
2018.04.18	85.215	85.436	84.673	84.872	94674	0	1
2018.04.19	84.851	85.301	84.672	84.723	111248	0	1
2018.04.20	84.711	85.166	84.293	84.363	110299	0	1
2018.04.23	84.452	84.723	84.341	84.595	93818	0	1
2018.04.24	84.586	85.164	84.574	84.784	102255	0	1
2018.04.25	84.784	85.224	84.661	85.178	106676	0	1
2018.04.26	85.137	85.309	84.861	84.919	102801	0	1
2018.04.27	84.895	85.042	84.751	84.991	95536	0	1
2018.04.30	84.936	85.386	84.909	85.121	82520	0	1
2018.05.01	85.134	85.522	84.964	85.498	89912	0	1
2018.05.02	85.498	85.738	85.241	85.253	113809	0	1
2018.05.03	85.253	85.431	84.472	84.991	118962	0	1
2018.05.04	84.991	85.019	84.368	84.885	87253	0	1
2018.05.07	84.898	85.003	84.508	84.686	71638	0	1
2018.05.08	84.686	84.694	83.889	84.252	106599	0	1
2018.05.09	84.252	85.506	84.152	85.364	97142	0	1
2018.05.10	85.364	86.061	85.271	85.674	96590	0	1
2018.05.11	85.643	85.867	85.407	85.463	71000	0	1
2018.05.14	85.404	85.870	85.347	85.569	57840	0	1
2018.05.15	85.580	85.922	85.314	85.687	87405	0	1
2018.05.16	85.644	86.311	85.572	86.307	86594	0	1
2018.05.17	86.249	86.787	86.170	86.462	92062	0	1
2018.05.18	86.473	86.732	85.767	85.934	83942	0	1
2018.05.21	86.080	86.852	86.026	86.804	66895	0	1
2018.05.22	86.695	87.101	86.459	86.501	78998	0	1
2018.05.23	86.491	86.527	84.923	85.745	125062	0	1
2018.05.24	85.716	85.770	84.437	84.801	114199	0	1
2018.05.25	84.787	85.123	84.046	84.302	104243	0	1
2018.05.28	84.626	84.692	83.979	84.200	86517	0	1
2018.05.29	84.167	84.240	82.993	83.531	171947	0	1
2018.05.30	83.505	84.948	83.150	84.587	154127	0	1
2018.05.31	84.568	84.965	83.571	83.962	140209	0	1
2018.06.01	83.947	84.638	83.931	84.539	114873	0	1
2018.06.04	84.428	84.948	84.399	84.917	85159	0	0
2018.06.05	84.907	85.120	84.063	84.623	104144	0	1
2018.06.06	84.625	85.645	84.619	85.118	106929	0	1
2018.06.07	85.090	85.169	84.254	84.559	107645	0	1
2018.06.08	84.545	84.744	83.856	84.723	101020	0	1
2018.06.11	84.050	84.893	84.050	84.773	77657	0	1
2018.06.12	84.746	85.029	84.656	84.801	116743	0	1
2018.06.13	84.792	85.197	84.783	84.954	100803	0	1
2018.06.14	84.942	85.018	84.351	84.391	111283	0	1
2018.06.15	84.411	84.464	83.709	83.941	108528	0	1
2018.06.18	83.891	84.006	83.443	83.719	69814	0	1
2018.06.19	83.721	83.760	82.556	82.825	130751	0	1
2018.06.20	82.839	83.036	82.666	82.886	108827	0	1
2018.06.21	82.927	83.199	82.485	82.583	128239	0	1
2018.06.22	82.567	83.042	82.260	82.877	120472	0	1
2018.06.25	82.739	82.887	82.166	82.520	109100	0	1
2018.06.26	82.529	82.829	82.210	82.672	107068	0	1
2018.06.27	82.682	83.175	82.351	82.605	140564	0	1
2018.06.28	82.617	83.395	82.463	83.375	107198	0	1
2018.06.29	83.383	84.379	83.243	84.245	129295	0	1
2018.07.02	83.935	84.432	83.745	84.071	108946	0	1
2018.07.03	84.042	84.430	83.861	84.132	116698	0	1
2018.07.04	84.129	84.222	83.931	84.019	117745	0	1
2018.07.05	83.986	84.343	83.865	84.220	120440	0	1
2018.07.06	84.163	84.467	84.069	84.349	101597	0	1
2018.07.09	84.282	84.688	84.267	84.553	85901	0	1
2018.07.10	84.452	84.921	84.448	84.621	89819	0	1
2018.07.11	84.635	85.170	84.204	84.781	149132	0	1
2018.07.12	84.765	85.550	84.674	85.543	107281	0	1
2018.07.13	85.493	85.658	85.241	85.364	93181	0	1
2018.07.16	85.185	85.654	85.185	85.459	78692	0	1
2018.07.17	85.449	85.689	85.388	85.559	111034	0	1
2018.07.18	85.557	85.739	85.042	85.669	100168	0	1
2018.07.19	85.663	85.713	84.683	84.722	151796	0	1
2018.07.20	84.716	85.271	84.507	84.782	145610	0	1
2018.07.23	84.770	84.893	84.403	84.527	96125	0	10
2018.07.24	84.516	84.639	84.253	84.524	90117	0	15
2018.07.25	84.526	85.196	84.445	85.055	107275	0	15
2018.07.26	85.022	85.218	84.792	85.064	93376	0	12
2018.07.27	85.055	85.182	84.777	84.987	75997	0	20
2018.07.30	84.946	85.383	84.874	85.158	59529	0	13
2018.07.31	85.148	86.109	84.736	86.009	102750	0	10
2018.08.01	85.947	86.279	85.732	85.894	88688	0	10
2018.08.02	85.830	85.942	85.398	85.726	75842	0	8
2018.08.03	85.727	85.935	85.559	85.624	76278	0	20
2018.08.06	85.562	85.728	85.418	85.659	47291	0	13
2018.08.07	85.655	85.846	85.139	85.319	63471	0	13
2018.08.08	85.293	85.337	84.720	85.217	71170	0	10
2018.08.09	85.182	85.425	84.953	85.108	69573	0	13
2018.08.10	85.111	85.191	84.090	84.369	116277	0	20
2018.08.13	83.832	84.603	83.621	84.259	107254	0	11
2018.08.14	84.246	85.131	84.185	85.113	87283	0	10
2018.08.15	85.073	85.309	83.829	84.257	101398	0	14
2018.08.16	84.232	84.546	83.994	84.281	105293	0	10
2018.08.17	84.244	84.747	83.842	84.567	79861	0	13
2018.08.20	84.632	84.724	84.297	84.302	64053	0	8
2018.08.21	84.349	84.832	84.200	84.555	82054	0	12
2018.08.22	84.518	85.085	84.361	85.030	81290	0	12
2018.08.23	85.030	85.323	84.764	85.050	75301	0	12
2018.08.24	85.041	85.450	84.972	85.365	84755	0	20
2018.08.27	85.484	85.733	85.017	85.647	63711	0	15
2018.08.28	85.635	86.176	85.577	85.953	74395	0	12
2018.08.29	85.956	86.555	85.893	86.513	81073	0	11
2018.08.30	86.482	86.576	85.410	85.474	79083	0	10
2018.08.31	85.423	85.581	84.686	85.144	93355	0	20
2018.09.03	84.914	85.125	84.742	84.765	57858	0	20
2018.09.04	84.762	84.994	84.208	84.465	79793	0	14
2018.09.05	84.455	84.890	84.357	84.626	84478	0	11
2018.09.06	84.613	84.639	83.754	84.259	92689	0	14
2018.09.07	84.257	84.630	83.867	84.333	94876	0	20
2018.09.10	84.332	84.533	84.076	84.388	61139	0	16
2018.09.11	84.414	85.544	84.377	85.420	64911	0	9
2018.09.12	85.395	85.805	85.080	85.580	77561	0	15
2018.09.13	85.605	86.156	85.490	86.093	74961	0	13
2018.09.14	86.085	86.222	85.766	85.961	70702	0	20
2018.09.17	85.894	86.116	85.735	85.747	54022	0	10
2018.09.18	85.749	86.622	85.467	86.602	89180	0	9
2018.09.19	86.558	87.015	86.248	86.791	72708	0	10
2018.09.20	86.851	87.243	86.716	87.177	84008	0	12
2018.09.21	87.176	87.445	87.061	87.088	72221	0	20
2018.09.24	86.987	87.217	86.896	87.042	54255	0	6
2018.09.25	87.045	87.255	86.940	87.207	63902	0	15
2018.09.26	87.216	87.246	86.504	86.561	77277	0	10
2018.09.27	86.558	87.130	86.200	86.914	73163	0	17
2018.09.28	86.903	88.062	86.862	88.028	70548	0	18
2018.10.01	88.440	89.163	88.237	88.875	69193	0	10
2018.10.02	88.872	89.008	88.460	88.605	74077	0	10
2018.10.03	88.583	89.209	88.473	88.968	77948	0	17
2018.10.04	88.947	88.974	87.935	88.120	89649	0	9
2018.10.05	88.101	88.311	87.682	87.831	87022	0	20
2018.10.08	87.824	87.962	86.997	87.285	61476	0	12
2018.10.09	87.308	87.447	87.005	87.216	95893	0	8
2018.10.10	87.219	87.450	85.883	85.898	93325	0	9
2018.10.11	85.925	86.370	85.677	86.049	154283	0	11
2018.10.12	86.030	86.436	85.756	86.107	105445	0	20
2018.10.15	86.096	86.379	85.564	86.017	96623	0	14
2018.10.16	86.026	86.878	86.003	86.779	78712	0	14
2018.10.17	86.770	86.875	86.155	86.486	89654	0	14
2018.10.18	86.486	86.540	85.566	85.732	106134	0	10
2018.10.19	85.717	86.362	85.556	85.869	103640	0	20
2018.10.22	85.956	86.284	85.645	86.112	87006	0	12
2018.10.23	86.103	86.149	85.356	85.927	111042	0	15
