<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	115.129	115.836	115.129	115.544	121945	0	4
2018.01.03	115.544	115.593	114.717	115.086	128306	0	4
2018.01.04	115.086	115.839	115.048	115.696	137574	0	4
2018.01.05	115.696	116.157	115.594	115.986	139368	0	4
2018.01.08	116.005	116.084	115.442	115.674	106059	0	1
2018.01.09	115.674	115.789	114.294	114.559	164219	0	1
2018.01.10	114.559	114.642	113.662	113.891	211554	0	1
2018.01.11	113.891	114.501	113.731	113.969	182445	0	1
2018.01.12	113.969	114.871	113.843	114.778	183210	0	1
2018.01.15	114.684	115.170	114.417	114.731	146529	0	1
2018.01.16	114.731	115.217	114.549	115.071	179727	0	1
2018.01.17	115.071	115.568	114.787	115.140	204942	0	1
2018.01.18	115.115	116.006	115.091	115.809	191032	0	1
2018.01.19	115.809	115.948	114.864	114.980	179971	0	1
2018.01.22	114.967	115.433	114.912	115.288	147914	0	1
2018.01.23	115.288	115.485	114.785	115.160	174155	0	1
2018.01.24	115.139	115.840	114.983	115.488	213814	0	1
2018.01.25	115.488	117.016	115.349	116.205	288910	0	1
2018.01.26	116.205	116.943	115.792	116.480	239022	0	0
2018.01.29	116.293	116.542	116.028	116.197	208071	0	1
2018.01.30	116.197	116.660	115.772	116.103	232034	0	1
2018.01.31	116.032	117.508	116.025	117.202	238566	0	1
2018.02.01	117.202	118.113	116.779	118.039	210917	0	1
2018.02.02	118.039	118.552	117.560	118.258	257529	0	1
2018.02.05	118.127	118.280	116.755	117.061	258898	0	1
2018.02.06	117.049	117.289	116.273	117.044	404443	0	1
2018.02.07	117.044	117.224	115.587	115.587	254294	0	1
2018.02.08	115.587	116.615	115.587	116.101	318801	0	1
2018.02.09	116.101	116.642	115.143	115.765	343933	0	1
2018.02.12	115.694	116.046	115.516	115.648	210009	0	1
2018.02.13	115.620	115.858	114.980	115.293	210160	0	1
2018.02.14	115.293	115.409	114.339	115.110	261064	0	1
2018.02.15	115.110	115.433	114.575	115.082	235948	0	1
2018.02.16	115.082	115.297	114.452	114.472	206180	0	1
2018.02.19	114.478	114.938	114.412	114.703	96260	0	1
2018.02.20	114.677	114.926	114.393	114.631	132899	0	1
2018.02.21	114.631	115.108	114.475	114.754	147748	0	1
2018.02.22	114.754	114.764	114.074	114.411	167872	0	1
2018.02.23	114.388	114.620	113.779	114.155	144329	0	1
2018.02.26	114.225	114.304	113.839	113.956	161996	0	1
2018.02.27	113.956	114.461	113.934	114.288	180600	0	1
2018.02.28	114.288	114.437	112.797	112.909	186325	0	1
2018.03.01	112.909	113.229	112.372	112.739	240856	0	1
2018.03.02	112.768	112.914	112.345	112.723	230689	0	1
2018.03.05	112.378	112.996	112.249	112.966	206540	0	1
2018.03.06	112.966	113.483	112.600	112.781	189577	0	1
2018.03.07	112.785	112.887	112.117	112.390	210232	0	1
2018.03.08	112.390	112.565	111.506	111.624	182215	0	1
2018.03.09	111.624	112.727	111.542	112.237	201999	0	1
2018.03.12	112.196	112.514	112.032	112.275	123787	0	1
2018.03.13	112.278	113.244	112.166	112.757	186034	0	1
2018.03.14	112.757	113.074	112.106	112.509	185457	0	1
2018.03.15	112.509	112.548	111.570	111.722	193349	0	1
2018.03.16	111.728	111.773	111.164	111.286	146625	0	1
2018.03.19	111.245	111.694	110.814	111.442	175591	0	1
2018.03.20	111.442	112.101	111.290	111.334	141165	0	1
2018.03.21	111.334	111.860	111.183	111.741	151021	0	1
2018.03.22	111.741	111.781	110.847	110.929	204559	0	1
2018.03.23	110.929	111.065	110.431	110.541	255351	0	1
2018.03.26	110.395	111.600	110.331	111.438	185982	0	1
2018.03.27	111.438	111.970	111.131	111.243	191396	0	1
2018.03.28	111.250	111.740	110.921	111.621	241851	0	1
2018.03.29	111.613	111.691	110.987	111.245	135609	0	1
2018.03.30	111.248	111.491	110.834	111.377	45350	0	1
2018.04.02	111.244	111.633	110.649	110.829	74256	0	1
2018.04.03	110.829	111.333	110.673	111.131	158322	0	1
2018.04.04	111.150	111.271	110.607	111.115	107005	0	1
2018.04.05	111.114	111.634	111.060	111.420	88762	0	1
2018.04.06	111.398	111.798	111.205	111.448	130130	0	1
2018.04.09	111.476	111.949	111.310	111.625	94000	0	1
2018.04.10	111.612	112.278	111.534	111.998	115349	0	1
2018.04.11	112.001	112.081	111.409	111.483	104921	0	1
2018.04.12	110.982	111.615	110.943	111.467	118896	0	1
2018.04.13	111.462	112.114	111.387	111.555	98592	0	1
2018.04.16	111.519	111.943	111.240	111.574	91194	0	1
2018.04.17	111.566	111.639	110.593	110.727	89337	0	1
2018.04.18	110.718	111.016	110.657	110.691	99950	0	1
2018.04.19	110.672	111.112	110.368	110.521	116412	0	1
2018.04.20	110.513	110.847	110.283	110.419	102411	0	1
2018.04.23	110.428	111.136	110.328	111.118	126749	0	1
2018.04.24	111.108	111.560	110.934	111.150	115177	0	1
2018.04.25	111.139	111.321	110.901	111.275	118637	0	1
2018.04.26	111.236	111.387	110.490	110.492	104854	0	1
2018.04.27	110.451	110.548	110.239	110.390	115687	0	1
2018.04.30	110.321	110.610	110.170	110.326	101296	0	1
2018.05.01	110.320	110.485	110.116	110.253	102999	0	1
2018.05.02	110.209	110.505	109.900	109.948	112293	0	1
2018.05.03	109.940	110.135	109.080	109.434	126434	0	1
2018.05.04	109.434	109.464	108.674	109.061	89661	0	1
2018.05.07	109.030	109.172	108.696	108.787	83793	0	1
2018.05.08	108.787	109.198	108.508	108.923	110627	0	1
2018.05.09	108.923	109.592	108.815	109.138	119127	0	1
2018.05.10	109.138	109.545	109.019	109.031	117428	0	1
2018.05.11	108.997	109.468	108.882	109.333	80758	0	1
2018.05.14	109.152	109.965	109.146	109.573	78568	0	1
2018.05.15	109.585	110.421	109.472	110.198	110250	0	1
2018.05.16	110.128	110.426	109.916	110.243	115701	0	1
2018.05.17	110.206	110.666	110.127	110.542	104814	0	1
2018.05.18	110.538	111.193	110.504	110.989	93647	0	1
2018.05.21	111.158	111.505	111.032	111.321	87237	0	1
2018.05.22	111.309	111.911	111.214	111.682	98864	0	1
2018.05.23	111.677	111.726	110.472	110.538	162631	0	1
2018.05.24	110.503	110.798	109.912	110.136	136327	0	1
2018.05.25	110.104	110.631	109.935	110.475	127913	0	1
2018.05.28	110.560	110.686	109.763	110.076	105353	0	1
2018.05.29	110.083	110.168	109.007	109.692	204300	0	1
2018.05.30	109.682	110.279	109.218	110.075	172892	0	1
2018.05.31	110.052	110.615	109.796	110.349	156723	0	1
2018.06.01	110.326	111.006	110.292	110.850	130918	0	1
2018.06.04	110.566	111.427	110.566	111.113	91762	0	1
2018.06.05	111.132	111.511	110.991	111.500	95441	0	1
2018.06.06	111.493	111.925	111.363	111.643	100370	0	1
2018.06.07	111.639	112.197	111.449	111.866	120393	0	1
2018.06.08	111.827	112.003	110.755	111.165	101699	0	1
2018.06.11	110.925	111.743	110.895	111.646	81104	0	1
2018.06.12	111.619	112.179	111.502	111.822	111385	0	1
2018.06.13	111.826	112.194	111.775	111.939	100367	0	1
2018.06.14	111.908	112.026	110.911	110.921	115248	0	1
2018.06.15	110.941	111.136	110.704	110.897	123308	0	1
2018.06.18	110.940	111.165	110.632	111.070	69957	0	1
2018.06.19	111.038	111.086	110.113	110.576	137452	0	1
2018.06.20	110.568	110.881	110.302	110.765	108174	0	1
2018.06.21	110.674	111.154	110.601	110.826	134163	0	1
2018.06.22	110.792	111.421	110.717	111.319	100426	0	1
2018.06.25	111.019	111.484	110.669	111.154	106094	0	1
2018.06.26	111.131	111.224	110.765	110.964	111526	0	1
2018.06.27	110.950	111.141	110.517	110.529	139970	0	1
2018.06.28	110.529	110.846	110.299	110.745	135937	0	1
2018.06.29	110.751	111.907	110.602	111.722	136002	0	1
2018.07.02	111.575	111.977	111.182	111.592	106411	0	1
2018.07.03	111.557	111.938	111.318	111.378	107437	0	1
2018.07.04	111.378	111.475	111.162	111.162	114374	0	1
2018.07.05	111.122	111.665	111.001	111.188	114221	0	1
2018.07.06	111.203	111.752	111.027	111.584	101005	0	1
2018.07.09	111.346	112.034	111.346	111.765	103344	0	1
2018.07.10	111.740	112.169	111.642	111.877	126115	0	1
2018.07.11	111.882	112.571	111.592	112.426	168120	0	1
2018.07.12	112.406	112.968	112.191	112.237	148607	0	1
2018.07.13	112.186	112.457	111.856	112.166	113649	0	1
2018.07.16	112.004	112.709	111.936	112.619	90178	0	1
2018.07.17	112.613	113.259	112.523	112.845	132821	0	1
2018.07.18	112.824	113.013	112.651	112.958	109772	0	0
2018.07.19	112.925	112.996	112.467	112.536	170519	0	1
2018.07.20	112.543	112.671	112.200	112.259	152372	0	1
2018.07.23	112.154	112.370	111.833	112.170	97471	0	4
2018.07.24	112.140	112.281	111.729	111.900	97955	0	15
2018.07.25	111.902	112.158	111.518	111.862	102927	0	9
2018.07.26	111.847	111.998	111.476	111.874	99982	0	1
2018.07.27	111.847	111.918	111.315	111.610	77457	0	20
2018.07.30	111.409	112.392	111.358	112.343	63077	0	6
2018.07.31	112.312	113.168	112.111	112.931	95650	0	7
2018.08.01	112.871	113.090	112.415	112.598	82052	0	6
2018.08.02	112.597	112.663	111.907	112.154	86761	0	4
2018.08.03	112.122	112.321	111.826	111.842	76215	0	17
2018.08.06	111.814	111.943	111.616	111.760	55379	0	16
2018.08.07	111.732	111.951	111.636	111.852	63651	0	15
2018.08.08	111.860	112.013	111.322	111.710	67111	0	8
2018.08.09	111.733	112.086	111.450	111.787	76260	0	10
2018.08.10	111.753	111.825	111.069	111.427	119753	0	20
2018.08.13	110.954	111.623	110.695	111.406	104266	0	20
2018.08.14	111.399	112.073	111.266	111.791	84872	0	4
2018.08.15	111.741	111.933	110.955	111.445	95787	0	10
2018.08.16	111.420	111.799	111.182	111.227	100197	0	9
2018.08.17	111.215	111.306	110.804	110.979	85015	0	6
2018.08.20	111.033	111.227	110.929	110.965	69117	0	20
2018.08.21	110.976	112.135	110.913	111.938	92602	0	4
2018.08.22	111.812	112.504	111.719	112.449	85190	0	17
2018.08.23	112.442	112.955	112.374	112.825	78105	0	6
2018.08.24	113.123	113.296	112.730	113.085	84088	0	16
2018.08.27	113.105	113.443	112.548	113.316	65935	0	12
2018.08.28	113.348	113.956	113.246	113.874	84528	0	15
2018.08.29	113.874	115.107	113.706	115.061	90190	0	15
2018.08.30	115.061	115.285	114.429	114.475	88614	0	16
2018.08.31	114.390	114.928	114.267	114.639	104146	0	20
2018.09.03	114.398	114.672	114.264	114.595	65428	0	12
2018.09.04	114.515	114.738	113.986	114.355	88937	0	5
2018.09.05	114.227	114.931	114.213	114.758	94312	0	6
2018.09.06	114.730	114.926	114.393	114.741	95631	0	14
2018.09.07	114.735	115.085	114.325	114.537	102088	0	20
2018.09.10	114.504	114.620	113.922	113.922	73058	0	7
2018.09.11	113.908	114.811	113.855	114.809	69148	0	4
2018.09.12	114.753	114.806	114.309	114.610	69155	0	6
2018.09.13	114.571	115.993	114.487	115.926	73095	0	6
2018.09.14	115.879	116.089	115.734	115.818	73474	0	20
2018.09.17	115.685	116.454	115.638	116.191	62822	0	1
2018.09.18	116.181	116.902	115.971	116.480	95632	0	13
2018.09.19	116.415	116.625	115.737	116.064	85404	0	18
2018.09.20	116.069	117.310	115.865	117.305	95032	0	10
2018.09.21	117.304	118.053	117.237	117.357	85829	0	20
2018.09.24	117.181	117.550	116.839	116.891	65433	0	4
2018.09.25	117.112	117.164	116.700	117.057	80821	0	12
2018.09.26	117.047	117.192	116.444	116.664	93171	0	7
2018.09.27	116.637	116.907	115.895	115.990	108317	0	4
2018.09.28	115.984	116.431	115.690	115.762	92880	0	20
2018.10.01	115.820	116.165	115.677	115.770	76120	0	6
2018.10.02	115.719	115.885	115.275	115.477	87426	0	10
2018.10.03	115.471	115.722	115.085	115.403	95188	0	10
2018.10.04	115.400	115.602	114.547	114.865	105140	0	4
2018.10.05	114.827	114.979	114.403	114.610	98892	0	18
2018.10.08	114.535	114.854	113.630	114.032	80341	0	20
2018.10.09	114.025	114.096	113.656	113.864	117841	0	9
2018.10.10	113.812	114.213	113.346	113.376	113930	0	11
2018.10.11	113.402	113.829	113.061	113.339	186176	0	17
2018.10.12	113.325	113.665	112.900	113.110	122256	0	20
2018.10.15	113.173	113.497	112.757	113.235	119566	0	8
2018.10.16	113.137	113.691	112.811	113.301	99762	0	12
2018.10.17	113.293	113.473	112.823	113.161	110812	0	17
2018.10.18	113.262	113.452	112.511	112.665	132077	0	15
2018.10.19	112.620	113.095	112.577	112.956	125247	0	20
2018.10.22	112.975	113.412	112.678	113.242	107193	0	12
2018.10.23	113.242	113.290	112.470	113.016	139743	0	14
2018.10.24	113.014	113.207	112.390	112.489	146973	0	17
2018.10.25	112.453	112.622	112.167	112.455	139814	0	7
2018.10.26	112.369	112.444	111.545	112.182	169556	0	20
2018.10.29	111.973	112.526	111.885	112.107	132555	0	11
2018.10.30	112.105	112.757	112.090	112.482	130527	0	12
2018.10.31	112.482	112.732	111.876	111.964	109760	0	8
2018.11.01	111.964	112.665	111.858	112.354	106630	0	5
2018.11.02	112.354	113.220	112.271	112.769	118762	0	20
2018.11.05	112.750	112.916	112.478	112.680	84207	0	14
2018.11.06	112.651	113.170	112.549	113.128	75937	0	12
2018.11.07	113.125	113.733	112.933	113.201	133129	0	9
2018.11.08	113.555	113.563	113.164	113.377	93643	0	4
2018.11.09	113.338	113.410	112.836	113.151	93086	0	20
2018.11.12	113.086	113.328	112.519	112.600	100378	0	14
2018.11.13	112.599	113.077	112.440	112.999	114329	0	9
2018.11.14	113.003	113.275	112.676	112.937	121647	0	4
2018.11.15	112.921	113.015	112.485	112.837	125005	0	14
2018.11.16	112.838	112.913	112.184	112.789	101378	0	19
2018.11.19	112.649	113.315	112.620	113.278	96556	0	8
2018.11.20	113.249	113.495	113.034	113.271	99802	0	20
2018.11.21	113.324	113.846	113.182	113.649	79856	0	16
2018.11.22	113.675	113.823	113.391	113.444	59602	0	20
2018.11.23	113.401	113.643	113.031	113.157	64888	0	18
2018.11.26	113.155	113.795	113.140	113.720	76755	0	11
2018.11.27	113.720	113.979	113.510	113.904	88501	0	10
2018.11.28	113.908	114.405	113.781	114.380	78603	0	8
2018.11.29	114.390	114.392	113.619	113.908	84905	0	8
2018.11.30	113.916	113.997	113.508	113.587	76305	0	20
2018.12.03	113.780	113.952	113.581	113.897	73262	0	5
2018.12.04	113.850	113.863	112.855	113.044	104912	0	3
2018.12.05	113.044	113.489	112.914	113.439	56798	0	5
2018.12.06	113.445	113.495	112.888	113.476	138986	0	15
2018.12.07	113.461	113.886	113.163	113.806	106476	0	20
2018.12.10	113.555	114.469	113.482	114.407	113301	0	12
2018.12.11	114.407	114.628	114.001	114.125	110059	0	14
2018.12.12	114.147	114.377	113.812	114.010	105506	0	9
2018.12.13	113.999	114.434	113.877	114.264	95291	0	8
2018.12.14	114.291	114.338	113.469	113.572	91391	0	11
2018.12.17	113.532	114.156	113.416	113.608	108747	0	4
2018.12.18	113.588	113.662	113.247	113.320	104775	0	8
2018.12.19	113.321	113.414	112.851	113.076	122230	0	13
2018.12.20	113.069	113.251	112.233	112.660	157611	0	6
2018.12.21	112.642	112.897	111.656	111.691	146326	0	15
2018.12.24	111.625	111.928	111.418	111.723	92449	0	20
2018.12.26	111.985	112.030	111.374	111.820	60818	0	9
2018.12.27	111.835	112.539	111.692	112.385	97399	0	20
2018.12.28	112.400	112.727	111.973	112.042	106383	0	20
2018.12.31	111.990	112.275	111.266	111.526	73648	0	20
2019.01.02	111.260	111.447	109.952	109.991	106325	0	15
2019.01.03	109.981	109.981	105.689	109.087	171948	0	4
2019.01.04	109.067	110.074	108.981	109.922	141859	0	13
2019.01.07	109.793	111.006	109.701	110.960	101979	0	17
2019.01.08	110.957	111.169	110.587	110.791	108549	0	14
2019.01.09	110.788	111.307	110.690	110.979	123330	0	6
2019.01.10	110.976	111.180	110.073	110.140	121912	0	6
2019.01.11	110.124	110.378	110.039	110.284	104772	0	11
2019.01.14	110.106	110.473	109.837	110.248	78691	0	11
2019.01.15	110.246	110.825	109.605	109.981	109176	0	12
2019.01.16	110.029	110.231	109.672	110.144	84452	0	12
2019.01.17	110.143	110.218	109.472	109.856	92591	0	12
2019.01.18	109.857	110.361	109.694	110.253	82326	0	15
2019.01.21	110.170	110.304	109.768	109.935	50215	0	17
2019.01.22	109.906	109.955	109.456	109.652	86368	0	10
2019.01.23	109.634	110.237	109.515	110.159	93772	0	4
2019.01.24	110.163	110.433	109.890	110.017	112543	0	13
2019.01.25	110.025	110.608	109.865	110.269	107984	0	20
2019.01.28	110.253	110.401	110.074	110.206	92644	0	20
2019.01.29	110.192	110.427	109.806	109.962	99326	0	9
2019.01.30	109.931	110.008	109.482	109.640	105648	0	12
2019.01.31	109.640	109.773	109.112	109.461	106025	0	20
2019.02.01	109.442	110.234	109.306	109.950	96899	0	20
2019.02.04	110.006	110.328	109.879	110.098	81044	0	20
2019.02.05	110.113	110.241	109.718	109.939	81614	0	20
2019.02.06	109.944	110.037	109.501	109.678	81849	0	12
2019.02.07	109.689	109.803	109.458	109.544	93588	0	12
2019.02.08	109.548	109.825	109.405	109.737	79280	0	20
2019.02.11	109.614	110.121	108.609	109.909	69491	0	10
2019.02.12	109.907	110.170	109.404	109.693	78378	0	20
2019.02.13	109.774	110.146	109.654	109.957	90597	0	12
2019.02.14	109.960	110.216	109.801	109.886	103828	0	12
2019.02.15	109.908	109.989	109.516	109.836	97367	0	13
2019.02.18	109.795	110.307	109.795	110.068	68287	0	20
2019.02.19	110.044	110.578	109.870	110.477	94861	0	20
2019.02.20	110.446	110.859	110.375	110.738	94564	0	18
2019.02.21	110.716	110.814	110.450	110.528	104978	0	13
2019.02.22	110.530	110.828	110.454	110.546	87855	0	20
2019.02.25	110.472	111.137	110.467	110.948	89882	0	20
2019.02.26	110.997	111.041	110.499	110.554	91060	0	12
2019.02.27	110.550	111.084	110.364	110.795	82079	0	11
2019.02.28	110.814	111.784	110.735	111.589	102718	0	11
2019.03.01	111.602	112.160	111.463	112.000	88366	0	20
2019.03.04	111.939	112.120	111.619	111.818	99181	0	20
2019.03.05	111.839	111.977	111.290	111.407	79173	0	20
2019.03.06	111.367	111.399	111.136	111.191	80650	0	20
2019.03.07	111.207	111.307	110.164	110.269	101630	0	20
2019.03.08	110.318	110.428	109.877	110.254	101721	0	20
2019.03.11	110.295	110.404	109.921	110.051	82754	0	17
2019.03.12	110.052	110.639	110.016	110.473	95286	0	20
2019.03.13	110.474	110.862	110.309	110.855	92220	0	18
2019.03.14	110.855	111.324	110.769	111.226	95166	0	11
2019.03.15	111.224	111.456	111.018	111.190	79935	0	20
2019.03.18	111.235	111.510	111.200	111.274	77156	0	16
2019.03.19	111.274	111.539	111.091	111.471	69522	0	18
2019.03.20	111.471	111.940	111.454	111.586	98046	0	8
2019.03.21	111.588	111.763	111.071	111.736	101160	0	12
2019.03.22	111.733	111.752	110.403	110.604	125517	0	20
2019.03.25	110.686	111.013	110.360	110.788	102611	0	20
